"ParentStopAreaCode","ChildStopAreaCode","CreationDateTime","ModificationDateTime","RevisionNumber","Modification"
"910GEWRTHNG","440GWO0414","2008-07-23T10:17:00","2008-07-23T10:17:00",0,"new"
"910GEYNSFD","240GA008420A","2009-04-08T16:44:00","2009-04-08T16:44:00",0,"new"
"910GFAMBDGE","150G00003051","","",,"new"
"910GFAMBDGE","150G00003289","","",,"new"
"910GFAMR","149G00007072","2009-03-03T15:03:00","2009-03-03T15:03:00",0,"new"
"910GFAREHAM","190G26","2011-09-28T13:05:29","2011-09-28T13:05:29",,"new"
"910GFARNHAM","400G4411300A","2009-03-17T11:12:00","2009-03-17T11:12:00",0,"new"
"910GFARNHAM","400G4411338B","2009-03-17T11:12:00","2009-03-17T11:12:00",0,"new"
"910GFAVRSHM","240GA022080A","2009-04-08T16:44:00","2009-04-08T16:44:00",0,"new"
"910GFAYGATE","440GHR0050","2008-07-23T10:18:00","2008-07-23T10:18:00",0,"new"
"910GFAYGATE","440GHR0051","2008-07-23T10:18:00","2008-07-23T10:18:00",0,"new"
"910GFAYGATE","440GHR0052","2008-07-23T10:18:00","2008-07-23T10:18:00",0,"new"
"910GFELTHAM","490G01107B","","",,"new"
"910GFENCHRS","490G01108W","","",,"new"
"910GFINSTCK","340G1820NOR","2009-02-27T16:20:00","2009-02-27T16:20:00",0,"new"
"910GFISKRTN","330GNS0484","2009-01-15T12:18:00","2009-01-15T12:18:00",0,"new"
"910GFLEET","190G31","2011-09-28T13:05:30","2011-09-28T13:05:30",,"new"
"910GFLITWCK","021G20115","2009-02-13T00:00:00","2009-02-13T00:00:00",0,"new"
"910GFLITWCK","021G20170","2009-02-13T00:00:00","2009-02-13T00:00:00",0,"new"
"910GFLITWCK","021G20200","2009-02-13T00:00:00","2009-02-13T00:00:00",0,"new"
"910GFLITWCK","021G20660","2009-02-13T00:00:00","2009-02-13T00:00:00",0,"new"
"910GFLKSTNC","240G070120A","2009-10-26T10:56:00","2009-10-26T10:56:00",0,"new"
"910GFLKSTNC","240G98102","2009-04-08T16:45:00","2009-04-08T16:45:00",0,"new"
"910GFLKSTNC","240GA030380A","2009-04-08T16:45:00","2009-04-08T16:45:00",0,"new"
"910GFLKSTNW","240GA028200A","2009-04-08T16:45:00","2009-04-08T16:45:00",0,"new"
"910GFLKSTNW","240GA028360A","2009-04-08T16:45:00","2009-04-08T16:45:00",0,"new"
"910GFLKSTNW","240GA028380A","2009-04-08T16:46:00","2009-04-08T16:46:00",0,"new"
"910GFLKSTNW","240GA063380R","2009-04-08T16:45:00","2009-04-08T16:45:00",0,"new"
"910GFLXSTOW","390G60815","2011-09-28T14:18:43","2011-09-28T14:18:43",,"new"
"910GFNCHLYR","490G01109FF","","",,"new"
"910GFNPK","490G00083R","","",,"new"
"910GFNPK","490G00083S","","",,"new"
"910GFNPK","490G00083SB","","",,"new"
"910GFORD","440GLH0273","2008-07-23T10:25:00","2008-07-23T10:25:00",0,"new"
"910GFOXTON","050GFX003004","2008-11-18T00:00:00","2008-11-18T00:00:00",,"new"
"910GFRANT","140GRR84165","2009-07-28T10:16:00","2009-07-28T10:16:00",0,"new"
"910GFRATTON","910GFRATGSA","2008-11-07T15:35:00","2008-11-07T15:35:00",0,"new"
"910GFRBRMN","190G28","2011-09-28T13:05:30","2011-09-28T13:05:30",,"new"
"910GFRBRNTH","190G30","2011-09-28T13:05:30","2011-09-28T13:05:30",,"new"
"910GFRDSHM","061GVR150","2011-02-25T00:00:00","2011-02-25T00:00:00",,"new"
"910GFRDSHM","061GVR168","2011-02-25T00:00:00","2011-02-25T00:00:00",,"new"
"910GFRDSHM","061GVR211","2011-02-25T00:00:00","2011-02-25T00:00:00",,"new"
"910GFRIMLEY","400G4403120A","2009-03-17T11:18:00","2009-03-17T11:18:00",0,"new"
"910GFRIMLEY","400G4403120D","2009-03-17T11:20:00","2009-03-17T11:20:00",0,"new"
"910GFRIMLEY","400G4403121A","2009-03-17T11:20:00","2009-03-17T11:20:00",0,"new"
"910GFRINTON","150G00002974","","",,"new"
"910GFRINTON","150G00002991","","",,"new"
"910GFRNCMB","400G4411253B","2009-03-17T11:22:00","2009-03-17T11:22:00",0,"new"
"910GFRNCMB","400G4411827B","2009-03-17T11:23:00","2009-03-17T11:23:00",0,"new"
"910GFRNCMB","400G4411926A","2009-03-17T11:24:00","2009-03-17T11:24:00",0,"new"
"910GFRNDNLT","490G00080B","","",,"new"
"910GFRNNGRD","240GA019460A","2009-04-08T16:46:00","2009-04-08T16:46:00",0,"new"
"910GFRNNGRD","240GA060830R","2009-04-08T16:46:00","2009-04-08T16:46:00",0,"new"
"910GFRSTGT","490G01111A","","",,"new"
"910GFSHBORN","440GCH0165","2009-07-06T11:23:00","2009-07-27T07:54:00",2,"rev"
"910GFSHBORN","440GCH0232","2009-07-06T11:24:00","2009-07-27T07:54:00",2,"rev"
"910GFSHBORN","910GFSHBBUS","2008-11-07T15:35:00","2008-11-07T15:35:00",0,"new"
"910GFSHRSGT","440GAD0267","2009-07-06T11:24:00","2009-07-06T11:24:00",0,"new"
"910GFSHRSGT","440GAD0341","2009-07-06T11:10:00","2009-07-06T11:10:00",0,"new"
"910GFULWELL","490G05445D","","",,"new"
"910GFURNESV","100GDFV06025","2008-12-04T00:00:00","2008-12-04T00:00:00",,"new"
"910GFURZEP","036G00000014","2010-06-29T00:00:00","2010-06-29T00:00:00",,"new"
"910GFURZEP","036G00006094","2010-06-29T00:00:00","2010-06-29T00:00:00",,"new"
"910GFURZEP","036G00006100","2010-06-22T00:00:00","2010-06-22T00:00:00",,"new"
"910GGALTILL","910GGALTINT","2009-04-14T17:00:00","2009-04-14T17:00:00",0,"new"
"910GGBNK","061GVR21","2011-02-25T00:00:00","2011-02-25T00:00:00",,"new"
"910GGBNK","061GVR283","2011-02-25T00:00:00","2011-02-25T00:00:00",,"new"
"910GGBNK","061GVR324","2011-02-25T00:00:00","2011-02-25T00:00:00",,"new"
"910GGBROC","270GLGC00018","","",,"new"
"910GGDLMING","400G4411244C","2009-03-17T11:26:00","2009-03-17T11:26:00",0,"new"
"910GGDLMING","400G4411414A","2009-03-17T11:27:00","2009-03-17T11:27:00",0,"new"
"910GGDLMING","400G4411472B","2009-03-17T11:27:00","2009-03-17T11:27:00",0,"new"
"910GGDLMING","400G4411557A","2009-03-17T11:27:00","2009-03-17T11:27:00",0,"new"
"910GGDLMING","400G4411825E","2009-03-17T11:27:00","2009-03-17T11:27:00",0,"new"
"910GGERRDSX","040G00001439","2007-05-15T00:00:00","2007-05-15T00:00:00",,"new"
"910GGFORD","490G00092D","","",,"new"
"910GGIDEAPK","490G01115B","","",,"new"
"910GGIPSYH","490G01116S","","",,"new"
"910GGLNGHMK","249G00000640","2009-04-07T15:58:00","2009-04-07T15:58:00",0,"new"
"910GGLNGHMK","249G00000756","2009-04-07T15:58:00","2009-04-07T15:58:00",0,"new"
"910GGLNGHMK","249G00000757","2009-05-07T14:26:00","2009-05-07T14:26:00",0,"new"
"910GGLNGHMK","249G00000844","2009-04-07T15:58:00","2009-04-07T15:58:00",0,"new"
"910GGLNGHMK","249G00020108","2009-11-20T10:38:00","2009-11-20T10:38:00",0,"new"
"910GGLNGHMK","249G00020110","2009-11-20T10:37:00","2009-11-20T10:37:00",0,"new"
"910GGLSP","100G52055","2008-12-05T00:00:00","2008-12-05T00:00:00",,"new"
"910GGLSP","100G52056","2008-12-05T00:00:00","2008-12-05T00:00:00",,"new"
"910GGLSP","100GDGTC0007","2008-12-05T00:00:00","2008-12-05T00:00:00",,"new"
"910GGLYNDE","140GLE0268","2011-04-01T10:59:00","2011-04-01T10:59:00",0,"new"
"910GGLYNDE","140GRA0013","2011-04-01T10:54:00","2011-04-01T10:54:00",0,"new"
"910GGNHT","240GA009110A","2009-04-08T16:47:00","2009-04-08T16:47:00",0,"new"
"910GGNHT","240GA009140A","2009-04-08T16:47:00","2009-04-08T16:47:00",0,"new"
"910GGNHT","910GGNHTRI","2008-11-07T15:36:00","2008-11-07T15:36:00",0,"new"
"910GGNRSBRY","490G00094B","","",,"new"
"910GGNRSBRY","490G00094C","","",,"new"
"910GGNWH","490G01123L","","",,"new"
"910GGODMAYS","490G01117E","","",,"new"
"910GGODSTON","400G4410061A","2009-03-17T11:28:00","2009-03-17T11:28:00",0,"new"
"910GGOMSHAL","400G4407367A","2009-03-17T11:29:00","2009-03-17T11:29:00",0,"new"
"910GGOOSTRY","060GCO111","2011-02-25T00:00:00","2011-02-25T00:00:00",,"new"
"910GGORASTR","340G00346STN","2009-05-01T11:38:00","2009-05-01T11:38:00",0,"new"
"910GGORDONH","490G07307B","","",,"new"
"910GGORNGBS","440GWO0306","2009-07-06T11:25:00","2009-07-24T13:57:00",2,"rev"
"910GGORNGBS","440GWO0308","2009-07-06T11:25:00","2009-07-06T11:25:00",0,"new"
"910GGORNGBS","440GWO0312","2009-07-06T11:25:00","2009-07-06T11:25:00",0,"new"
"910GGOXHILL","227G00091395","","",,"new"
