"AtcoCode","CommonName","CommonNameLang","ShortName","ShortCommonNameLang","Landmark","LandmarkLang","Street","StreetLang","Crossing","CrossingLang","Indicator","IndicatorLang","CreationDateTime","ModificationDateTime","RevisionNumber","Modification"
"2500LAA00526","Barnoldswick Coates Lane","","","","Barnoldswick Coates Lane","","Coates Lane","","","","","","2009-09-14T08:57:00","2010-02-03T15:03:00",2,"rev"
"2500LAA00527","Dutton Grindlestone Farm","","","","Dutton Grindlestone Farm","","LONGRIDGE ROAD","","","","","","2009-09-14T08:57:00","2009-09-14T08:57:00",1,"rev"
"2500LAA07059","POULTON Brockholes Crescent","","","","POULTON Brockholes Crescent","","BROCKHOLES CRESCENT","","","","","","2009-09-14T08:57:00","2009-09-14T08:57:00",1,"rev"
"2500LAA07062","NABS HEAD Alum Scar Lane","","","","NABS HEAD Alum Scar Lane","","FURTHER LANE","","","","","","2009-09-14T08:57:00","2009-09-14T08:57:00",1,"rev"
"2500LAA07063","DELETED RECORD","","","","Goosefoot Cottages","","GOOSEFOOT LANE","","","","","","2009-09-14T08:57:00","2010-05-19T11:32:00",2,"del"
"2500LAA07066","Chatburn Robinson Street","","","","Chatburn Robinson Street","","ROBINSON STREET","","","","","","2009-09-14T08:57:00","2009-09-14T08:57:00",1,"rev"
"2500LAA07067","CHATBURN Post Office","","","","CHATBURN Post Office","","BRIDGE ROAD","","","","","","2009-09-14T08:57:00","2009-09-14T08:57:00",1,"rev"
"2500LAA07068","GISBURN Post Office","","","","GISBURN Post Office","","MAIN STREET","","","","","","2009-09-14T08:57:00","2009-09-14T08:57:00",1,"rev"
"2500LAA07069","GISBURN White Bull","","","","GISBURN White Bull","","MAIN STREET","","","","","","2009-09-14T08:57:00","2009-09-14T08:57:00",1,"rev"
"2500LAA07071","Grindleton Bridge","","","","Grindleton Bridge","","Grindleton Road","","","","","","2009-09-14T08:57:00","2009-09-14T08:57:00",1,"rev"
"2500LAA07072","GRINDLETON Grindleton Brow","","","","GRINDLETON Grindleton Brow","","GRINDLETON BROW","","","","","","2009-09-14T08:57:00","2009-09-14T08:57:00",1,"rev"
"2500LAA07073","WEST BRADFORD Old Hall","","","","WEST BRADFORD Old Hall","","CHAPEL LANE","","","","","","2009-09-14T08:57:00","2009-09-14T08:57:00",1,"rev"
"2500LAA07074","BROCKHALL Brookside Close","","","","BROCKHALL Brookside Close","","OLD LANGHO ROAD","","","","","","2009-09-14T08:57:00","2009-09-14T08:57:00",1,"rev"
"2500LAA07075","RAMSGRAVE Spread Eagle","","","","RAMSGRAVE Spread Eagle","","MELLOR LANE","","","","","","2009-09-14T08:57:00","2009-09-14T08:57:00",1,"rev"
"2500LAA07076","RAMSGREAVE Primsose Hill","","","","RAMSGREAVE Primsose Hill","","MELLOR LANE","","","","","","2009-09-14T08:57:00","2009-09-14T08:57:00",1,"rev"
"2500LAA07077","RAWTENSTALL Booth Road","","","","RAWTENSTALL Booth Road","","BOOTH ROAD","","","","","","2009-09-14T08:57:00","2009-09-14T08:57:00",1,"rev"
"2500LAA07078","RAWTENSTALL Booth Road","","","","RAWTENSTALL Booth Road","","BOOTH ROAD","","","","","","2009-09-14T08:57:00","2009-09-14T08:57:00",1,"rev"
"2500LAA07079","EDGESIDE Ashworth Lane","","","","EDGESIDE Ashworth Lane","","ASHWORTH LANE","","","","","","2009-09-14T08:57:00","2009-09-14T08:57:00",1,"rev"
