"AtcoCode","OperatorRef","NationalCoachCode","Name","NameLang","LongName","LongNameLang","GridType","Easting","Northing","CreationDateTime","ModificationDateTime","RevisionNumber","Modification"
"2900R238","","900037394A","West Runton","en","West Runton: Post Office Stores","en","U",618139,342726,"","",0,""
"2900R241","","900086094A","Harleston (Norfolk)","en","Harleston: Bus Stop, Broad St","en","U",624623,283438,"","",0,""
"2900R249","","900086094C","Harleston (Norfolk)","en","Harleston: opp Duke William P.H.","en","U",624843,283801,"","",0,""
"2900S701","","900037325","Sheringham","en","Sheringham: Station Approach, Bus Shelter, T.I.C","en","U",615723,343069,"","",0,""
"2900S711","","900037264","Swaffham","en","Swaffham: Market Place, Coach Stop","en","U",581895,309007,"","",0,""
"2900T064","","900098065","Terrington St John","en","Terrington St John: Main Road","en","U",553857,314368,"","",0,""
"2900T211","","900098066","Tilney High End","en","Tilney High End: School Road","en","U",556199,316855,"","",0,""
"2900T2111","","900098067","Tilney All Saints","en","Tilney All Saints: Eau Brink Road","en","U",559167,317572,"","",0,""
"2900T39142","","900085094","Thetford (Norfolk)","en","Thetford: Bus Stn","en","U",586884,283004,"","",0,""
"2900W096","","900098068","West Walton","en","West Walton: Lynn Road","en","U",549161,312979,"","",0,""
"2900W301","","900098069","Walpole Highway","en","Walpole Highway: Primary School, Main Road","en","U",551537,313845,"","",0,""
"2900W335","","900098070","East Winch","en","East Winch: Lynn Road","en","U",569172,316305,"","",0,""
"2900W5823","","900038324C","Wymondham (Norfolk)","en","Wymondham: Bus Stop, nr Fairland St","en","U",611274,301360,"","",0,""
"2900W583","","900038324A","Wymondham (Norfolk)","en","Wymondham: Bus Stop, opp Fairland St","en","U",611280,301364,"","",0,""
"2900Y0337","","900038174","Great Yarmouth (Norfolk)","en","Yarmouth (Norfolk): Market Gates, os Trollcart","en","U",652599,307620,"","",0,""
"300000045N","","900039014C","Brixworth","en","Brixworth: 101 Northampton Rd","en","U",474810,270623,"","",0,""
"300000045NR","","900039014A","Brixworth","en","Brixworth: opp 97 Northampton Rd","en","U",474809,270653,"","",0,""
"300000075E4","","900039334A","Corby","en","Corby: Elizabeth Street, Stop 4 ","en","U",488420,288555,"","",0,""
"300000075E4","","900039334C","Corby","en","Corby: Elizabeth Street, Stop 4 ","en","U",488420,288555,"","",0,""
"300000090B3","","900039043","Daventry","en","Daventry: Bus Stn, New St","en","U",457402,262414,"","",0,""
"300000092AP","","900039095A","Delapre","en","Northampton: London Rd, opp. Delapre Crescent","en","U",475460,259151,"","",0,""
"300000092OD","","900039095C","Delapre","en","Northampton: London Road, adj. Delapre Crescent","en","U",475450,259242,"","",0,""
"300000105MR","","900098071","Earls Barton","en","Earls Barton: Main Road (A4500)","en","U",485604,264934,"","",0,""
"300000112W","","900098072","Ecton (Northants)","en","Ecton: Wellingborough Road","en","U",482616,263799,"","",0,""
"300000121F","","900039274C","Flore","en","Flore: Lay-by, White Hart","en","U",464616,260386,"","",0,""
"300000121O","","900039274A","Flore","en","Flore: Lay-by, opp White Hart","en","U",464650,260405,"","",0,""
"300000132WH","","900098073","Grafton Regis","en","Grafton Regis: Northampton Road, Church Road","en","U",475529,246594,"","",0,""
"300000134W","","900098074","Great Billing","en","Great Billing: Wellingborough Rd, opp Penfold Ln","en","U",481048,263311,"","",0,""
"300000138MR","","900098075","Great Harrowden","en","Great Harrowden: Kettering Road","en","U",487993,270940,"","",0,""
"300000140B","","900098076","Great Oxendon","en","Great Oxendon: Harborough Road","en","U",473586,283379,"","",0,""
"30000014420","","900039074A","Northampton (Northants)","en","Northampton: Greyfriars Bus Station","en","U",475442,260758,"","",0,""
"300000144BS","","900039074M","Northampton (Northants)","en","Northampton: Greyfriars Bus Station","en","U",475504,260762,"","",0,""
"300000144C","","900039074P","Northampton (Northants)","en","Northampton: Greyfriars Bus Station, Bay C","en","U",475486,260754,"","",0,""
"300000144VS","","900039074B","Northampton (Northants)","en","Northampton: Greyfriars Bus Station","en","U",475540,260877,"","",0,""
"300000180H","","900098078","Kelmarsh","en","Kelmarsh: Harborough Road, Crossroads","en","U",473688,279276,"","",0,""
"300000181EF","","900039364A","Kettering","en","Kettering, Eskdaill Street, Stop 6 ","en","U",486776,279029,"","",0,""
"300000181NS","","900039364C","Kettering","en","Kettering, Northfield Ave, Rail Station ","en","U",486440,278096,"","",0,""
"300000191L","","900098079","Kingsthorpe","en","Northampton: Harborough Rd, os Housing Office","en","U",475163,263215,"","",0,""
"300000196S","","900098080","Lamport","en","Lamport: Harborough Road, High Street","en","U",475587,274504,"","",0,""
"300000224S","","900098081","Maidwell","en","Maidwell: Harborough Road, Stags Head PH","en","U",474625,277029,"","",0,""
"300000269MA","","900098082","Oundle","en","Oundle: Market Place","en","U",504194,288105,"","",0,""
"300000286L","","900039084C","Delapre","en","Northampton: Delapre, London Road, outside 324","en","U",475459,258068,"","",0,""
"300000286LC","","900039084A","Delapre","en","Northampton: London Road, opp. number 314","en","U",475452,258110,"","",0,""
"300000297MR","","900098083","Wellingborough","en","Wellingborough: Wellingborough Road","en","U",488187,269887,"","",0,""
"300000299OH","","900098084","Roade","en","Roade: London Road, Churchcroft","en","U",475477,251888,"","",0,""
"300000384KA","","900098086","Weldon (Northants)","en","Weldon: High Street, Kettering Road","en","U",492654,289510,"","",0,""
"300000393C","","900098087","Abington (Northampton)","en","Northampton: Abington, Wellingborough Rd","en","U",477041,261164,"","",0,""
"300000397W","","900098088","Weston Favell Centre","en","Northampton, Weston Favell Centre:","en","U",479984,262729,"","",0,""
"300000408G","","900098090","Wilby (Northants)","en","Wilby: Main Road, The George PH","en","U",486902,266217,"","",0,""
"300000442OM","","900098092","Isham","en","Isham: Kettering Road, Monk & Minstrel Pub","en","U",488420,274053,"","",0,""
"300000443C5","","900039324","Wellingborough","en","Wellingborough: Church Street, Bay E","en","U",489151,267998,"","",0,""
"300000453UA","","900098142","Upper Benefield","en","Upper Benefield: Upper Main Street","en","U",497754,289319,"","",0,""
"300000454GT","","900098143","Lower Benefield","en","Lower Benefield: Oundle Road, o/s Cornerstones","en","U",499235,288739,"","",0,""
"300000535MR","","900039324Z","Wellingborough","en","Wellingborough: Rail Station","en","U",490319,268110,"","",0,""
"300000574OB","","900039334","Corby","en","Corby: George Street, Stop F","en","U",488122,288584,"","",0,""
"300000674OC","","900098094","Elmington","en","Elmington: Peterborough Road","en","U",505209,289618,"","",0,""
"300000674X","","900098095","Tansor","en","Tansor: Peterborough Road, Crossroads","en","U",506065,290356,"","",0,""
"300000800N","","900098096","Pitsford","en","Pitsford: Harborough Road, Pitsford Turn","en","U",474958,267651,"","",0,""
"300000997SC","","900098097","Great Oakley (Northants)","en","Great Oakley: Rockingham Road","en","U",486089,283619,"","",0,""
"3100T698067","","900066248A","Ramshope","en","Carter Bar: Summit southbound","en","U",369840,606773,"","",0,""
"3100T713049","","900069132","Ramshope","en","Whitelee: Farm Entrance","en","U",371315,604987,"","",0,""
